"filename", "language", "Makefile", "HTML", "C", "C++", "Log", "comment", "blank", "total"
"/home/parsa/Desktop/nano/lib/printf-frexp.h", "C++", 0, 0, 0, 1, 0, 21, 2, 24
"/home/parsa/Desktop/nano/lib/printf-frexpl.c", "C", 0, 0, 13, 0, 0, 16, 9, 38
"/home/parsa/Desktop/nano/lib/printf-frexpl.h", "C++", 0, 0, 0, 1, 0, 21, 2, 24
"/home/parsa/Desktop/nano/lib/printf-parse.c", "C", 0, 0, 502, 0, 0, 88, 43, 633
"/home/parsa/Desktop/nano/lib/printf-parse.h", "C++", 0, 0, 0, 135, 0, 36, 23, 194
"/home/parsa/Desktop/nano/lib/raise.c", "C", 0, 0, 47, 0, 0, 21, 16, 84
"/home/parsa/Desktop/nano/lib/readdir.c", "C", 0, 0, 61, 0, 0, 29, 13, 103
"/home/parsa/Desktop/nano/lib/realloc.c", "C", 0, 0, 27, 0, 0, 23, 14, 64
"/home/parsa/Desktop/nano/lib/regcomp.c", "C", 0, 0, 3089, 0, 0, 488, 341, 3918
"/home/parsa/Desktop/nano/lib/regex.c", "C", 0, 0, 49, 0, 0, 24, 11, 84
"/home/parsa/Desktop/nano/lib/regex.h", "C++", 0, 0, 0, 273, 0, 268, 123, 664
"/home/parsa/Desktop/nano/lib/regex_internal.c", "C", 0, 0, 1410, 0, 0, 179, 158, 1747
"/home/parsa/Desktop/nano/lib/regex_internal.h", "C++", 0, 0, 0, 629, 0, 113, 105, 847
"/home/parsa/Desktop/nano/lib/regexec.c", "C", 0, 0, 3370, 0, 0, 526, 365, 4261
"/home/parsa/Desktop/nano/lib/scratch_buffer.h", "C++", 0, 0, 0, 33, 0, 78, 17, 128
"/home/parsa/Desktop/nano/lib/setlocale-lock.c", "C", 0, 0, 80, 0, 0, 41, 30, 151
"/home/parsa/Desktop/nano/lib/setlocale_null.c", "C", 0, 0, 297, 0, 0, 54, 61, 412
"/home/parsa/Desktop/nano/lib/setlocale_null.h", "C++", 0, 0, 0, 16, 0, 52, 15, 83
"/home/parsa/Desktop/nano/lib/sig-handler.c", "C", 0, 0, 3, 0, 0, 16, 3, 22
"/home/parsa/Desktop/nano/lib/sig-handler.h", "C++", 0, 0, 0, 18, 0, 26, 8, 52
"/home/parsa/Desktop/nano/lib/sigaction.c", "C", 0, 0, 106, 0, 0, 79, 20, 205
"/home/parsa/Desktop/nano/lib/signal.h", "C++", 0, 0, 0, 556, 0, 353, 86, 995
"/home/parsa/Desktop/nano/lib/signal.in.h", "C++", 0, 0, 0, 337, 0, 87, 64, 488
"/home/parsa/Desktop/nano/lib/signbitd.c", "C", 0, 0, 34, 0, 0, 25, 6, 65
"/home/parsa/Desktop/nano/lib/signbitf.c", "C", 0, 0, 34, 0, 0, 25, 6, 65
"/home/parsa/Desktop/nano/lib/signbitl.c", "C", 0, 0, 34, 0, 0, 25, 6, 65
"/home/parsa/Desktop/nano/lib/sigprocmask.c", "C", 0, 0, 251, 0, 0, 57, 42, 350
"/home/parsa/Desktop/nano/lib/size_max.h", "C++", 0, 0, 0, 7, 0, 20, 4, 31
"/home/parsa/Desktop/nano/lib/snprintf.c", "C", 0, 0, 38, 0, 0, 22, 12, 72
"/home/parsa/Desktop/nano/lib/stat-time.c", "C", 0, 0, 3, 0, 0, 16, 3, 22
"/home/parsa/Desktop/nano/lib/stat-time.h", "C++", 0, 0, 0, 179, 0, 51, 23, 253
"/home/parsa/Desktop/nano/lib/stat-w32.c", "C", 0, 0, 285, 0, 0, 141, 36, 462
"/home/parsa/Desktop/nano/lib/stat-w32.h", "C++", 0, 0, 0, 12, 0, 20, 6, 38
"/home/parsa/Desktop/nano/lib/stat.c", "C", 0, 0, 290, 0, 0, 100, 51, 441
"/home/parsa/Desktop/nano/lib/stdarg.in.h", "C++", 0, 0, 0, 13, 0, 16, 7, 36
"/home/parsa/Desktop/nano/lib/stdbool.in.h", "C++", 0, 0, 0, 35, 0, 87, 11, 133
"/home/parsa/Desktop/nano/lib/stddef.in.h", "C++", 0, 0, 0, 78, 0, 54, 16, 148
"/home/parsa/Desktop/nano/lib/stdint.in.h", "C++", 0, 0, 0, 497, 0, 146, 98, 741
"/home/parsa/Desktop/nano/lib/stdio.h", "C++", 0, 0, 0, 1549, 0, 486, 114, 2149
"/home/parsa/Desktop/nano/lib/stdio.in.h", "C++", 0, 0, 0, 1330, 0, 220, 92, 1642
"/home/parsa/Desktop/nano/lib/stdlib.h", "C++", 0, 0, 0, 1390, 0, 498, 106, 1994
"/home/parsa/Desktop/nano/lib/stdlib.in.h", "C++", 0, 0, 0, 1149, 0, 210, 83, 1442
"/home/parsa/Desktop/nano/lib/str-two-way.h", "C++", 0, 0, 0, 249, 0, 183, 21, 453
"/home/parsa/Desktop/nano/lib/strcasecmp.c", "C", 0, 0, 28, 0, 0, 23, 12, 63
"/home/parsa/Desktop/nano/lib/strcasestr.c", "C", 0, 0, 46, 0, 0, 27, 10, 83
"/home/parsa/Desktop/nano/lib/streq.h", "C++", 0, 0, 0, 133, 0, 23, 21, 177
"/home/parsa/Desktop/nano/lib/string.h", "C++", 0, 0, 0, 1086, 0, 517, 94, 1697
"/home/parsa/Desktop/nano/lib/string.in.h", "C++", 0, 0, 0, 867, 0, 251, 72, 1190
"/home/parsa/Desktop/nano/lib/strings.h", "C++", 0, 0, 0, 285, 0, 304, 41, 630
"/home/parsa/Desktop/nano/lib/strings.in.h", "C++", 0, 0, 0, 66, 0, 38, 19, 123
"/home/parsa/Desktop/nano/lib/strncasecmp.c", "C", 0, 0, 28, 0, 0, 23, 12, 63
"/home/parsa/Desktop/nano/lib/strnlen.c", "C", 0, 0, 8, 0, 0, 18, 5, 31
"/home/parsa/Desktop/nano/lib/strnlen1.c", "C", 0, 0, 12, 0, 0, 19, 5, 36
"/home/parsa/Desktop/nano/lib/strnlen1.h", "C++", 0, 0, 0, 12, 0, 18, 11, 41
"/home/parsa/Desktop/nano/lib/sys/stat.h", "C++", 0, 0, 0, 957, 0, 362, 117, 1436
"/home/parsa/Desktop/nano/lib/sys/time.h", "C++", 0, 0, 0, 389, 0, 299, 44, 732
"/home/parsa/Desktop/nano/lib/sys/types.h", "C++", 0, 0, 0, 52, 0, 34, 22, 108
"/home/parsa/Desktop/nano/lib/sys/wait.h", "C++", 0, 0, 0, 270, 0, 290, 53, 613
"/home/parsa/Desktop/nano/lib/sys_stat.in.h", "C++", 0, 0, 0, 738, 0, 96, 95, 929
"/home/parsa/Desktop/nano/lib/sys_time.in.h", "C++", 0, 0, 0, 170, 0, 33, 22, 225
"/home/parsa/Desktop/nano/lib/sys_types.in.h", "C++", 0, 0, 0, 53, 0, 33, 21, 107
"/home/parsa/Desktop/nano/lib/sys_wait.in.h", "C++", 0, 0, 0, 58, 0, 42, 32, 132
"/home/parsa/Desktop/nano/lib/time.h", "C++", 0, 0, 0, 525, 0, 362, 62, 949
"/home/parsa/Desktop/nano/lib/time.in.h", "C++", 0, 0, 0, 306, 0, 96, 40, 442
"/home/parsa/Desktop/nano/lib/timespec.c", "C", 0, 0, 3, 0, 0, 16, 3, 22
"/home/parsa/Desktop/nano/lib/timespec.h", "C++", 0, 0, 0, 55, 0, 26, 21, 102
"/home/parsa/Desktop/nano/lib/unistd.c", "C", 0, 0, 4, 0, 0, 16, 3, 23
"/home/parsa/Desktop/nano/lib/unistd.h", "C++", 0, 0, 0, 2030, 0, 606, 175, 2811
"/home/parsa/Desktop/nano/lib/unistd.in.h", "C++", 0, 0, 0, 1811, 0, 340, 153, 2304
"/home/parsa/Desktop/nano/lib/unitypes.h", "C++", 0, 0, 0, 30, 0, 25, 8, 63
"/home/parsa/Desktop/nano/lib/unitypes.in.h", "C++", 0, 0, 0, 30, 0, 24, 8, 62
"/home/parsa/Desktop/nano/lib/uniwidth.h", "C++", 0, 0, 0, 33, 0, 26, 15, 74
"/home/parsa/Desktop/nano/lib/uniwidth.in.h", "C++", 0, 0, 0, 33, 0, 25, 15, 73
"/home/parsa/Desktop/nano/lib/uniwidth/cjk.h", "C++", 0, 0, 0, 16, 0, 19, 3, 38
"/home/parsa/Desktop/nano/lib/uniwidth/width.c", "C", 0, 0, 390, 0, 0, 73, 6, 469
"/home/parsa/Desktop/nano/lib/utime.c", "C", 0, 0, 211, 0, 0, 45, 33, 289
"/home/parsa/Desktop/nano/lib/utime.h", "C++", 0, 0, 0, 288, 0, 291, 41, 620
"/home/parsa/Desktop/nano/lib/utime.in.h", "C++", 0, 0, 0, 69, 0, 25, 19, 113
"/home/parsa/Desktop/nano/lib/utimens.c", "C", 0, 0, 435, 0, 0, 163, 50, 648
"/home/parsa/Desktop/nano/lib/utimens.h", "C++", 0, 0, 0, 23, 0, 18, 9, 50
"/home/parsa/Desktop/nano/lib/vasnprintf.c", "C", 0, 0, 4734, 0, 0, 791, 342, 5867
"/home/parsa/Desktop/nano/lib/vasnprintf.h", "C++", 0, 0, 0, 22, 0, 42, 9, 73
"/home/parsa/Desktop/nano/lib/verify.h", "C++", 0, 0, 0, 96, 0, 192, 28, 316
"/home/parsa/Desktop/nano/lib/vsnprintf.c", "C", 0, 0, 37, 0, 0, 22, 12, 71
"/home/parsa/Desktop/nano/lib/warn-on-use.h", "C++", 0, 0, 0, 51, 0, 94, 5, 150
"/home/parsa/Desktop/nano/lib/wchar.h", "C++", 0, 0, 0, 1232, 0, 406, 128, 1766
"/home/parsa/Desktop/nano/lib/wchar.in.h", "C++", 0, 0, 0, 1013, 0, 140, 106, 1259
"/home/parsa/Desktop/nano/lib/wcrtomb.c", "C", 0, 0, 48, 0, 0, 25, 8, 81
"/home/parsa/Desktop/nano/lib/wctype-h.c", "C", 0, 0, 3, 0, 0, 17, 4, 24
"/home/parsa/Desktop/nano/lib/wctype.h", "C++", 0, 0, 0, 788, 0, 328, 98, 1214
"/home/parsa/Desktop/nano/lib/wctype.in.h", "C++", 0, 0, 0, 576, 0, 80, 77, 733
"/home/parsa/Desktop/nano/lib/wcwidth.c", "C", 0, 0, 41, 0, 0, 25, 8, 74
"/home/parsa/Desktop/nano/lib/windows-initguard.h", "C++", 0, 0, 0, 12, 0, 17, 7, 36
"/home/parsa/Desktop/nano/lib/windows-mutex.c", "C", 0, 0, 60, 0, 0, 26, 10, 96
"/home/parsa/Desktop/nano/lib/windows-mutex.h", "C++", 0, 0, 0, 24, 0, 17, 11, 52
"/home/parsa/Desktop/nano/lib/windows-once.c", "C", 0, 0, 32, 0, 0, 25, 6, 63
"/home/parsa/Desktop/nano/lib/windows-once.h", "C++", 0, 0, 0, 21, 0, 17, 10, 48
"/home/parsa/Desktop/nano/lib/windows-recmutex.c", "C", 0, 0, 92, 0, 0, 26, 10, 128
"/home/parsa/Desktop/nano/lib/windows-recmutex.h", "C++", 0, 0, 0, 26, 0, 20, 12, 58
